Motif1	Motif2	N	Mean_real	Stdev_real	Mean_pred	Stdev_pred
MA0419.1.YAP7	MA0419.1.YAP7	68293	10.75	2.3	10.72	1.74
MA0419.1.YAP7	MA0435.2.YPR015C	658	10.53	2.28	10.53	1.61
MA0419.1.YAP7	MA0347.3.NRG1	871	10.47	2.17	10.41	1.63
MA0419.1.YAP7	MA0350.2.TOD6	1062	10.66	2.36	10.55	1.8
MA0419.1.YAP7	MA0372.2.RPH1	553	10.68	2.21	10.6	1.62
MA0419.1.YAP7	MA0412.3.UME6	895	10.83	2.47	10.8	1.95
MA0419.1.YAP7	MA0403.3.TBF1	1037	11.01	2.24	11	1.71
MA0419.1.YAP7	MA0393.1.STE12	631	11.03	2.17	11.03	1.55
MA0419.1.YAP7	MA0413.2.USV1	1190	11.04	2.27	10.97	1.8
MA0419.1.YAP7	MA0384.2.SNT2	779	11.05	2.24	11.02	1.84
MA0419.1.YAP7	MA0359.3.RAP1	1245	11.49	2.45	11.5	1.9
MA0419.1.YAP7	MA0421.1.NSI1	771	11.8	2.5	11.74	2.18
MA0419.1.YAP7	MA0320.1.IME1	977	11.61	2.32	11.62	1.87
MA0419.1.YAP7	MA0405.1.TEA1	917	11.83	2.29	11.81	1.83
MA0419.1.YAP7	MA0281.3.CBF1	475	11.83	2.26	11.98	1.72
MA0419.1.YAP7	MA0409.1.TYE7	349	12.08	2.08	12.22	1.57
MA0419.1.YAP7	MA0353.1.PDR3	298	12.03	2.12	11.99	1.7
MA0419.1.YAP7	MA0265.3.ABF1	654	12.51	2.41	12.64	2.09
MA0419.1.YAP7	MA0363.3.REB1	614	13.5	2.04	13.76	1.52
MA0435.2.YPR015C	MA0419.1.YAP7	658	10.53	2.28	10.53	1.61
MA0435.2.YPR015C	MA0435.2.YPR015C	79309	10.85	2.3	10.83	1.79
MA0435.2.YPR015C	MA0347.3.NRG1	982	10.3	2.37	10.42	1.74
MA0435.2.YPR015C	MA0350.2.TOD6	975	10.58	2.39	10.55	1.83
MA0435.2.YPR015C	MA0372.2.RPH1	869	10.53	2.27	10.54	1.69
MA0435.2.YPR015C	MA0412.3.UME6	1152	11.08	2.36	10.99	1.93
MA0435.2.YPR015C	MA0403.3.TBF1	1305	11.07	2.2	11.04	1.67
MA0435.2.YPR015C	MA0393.1.STE12	706	11.08	2.14	11.09	1.62
MA0435.2.YPR015C	MA0413.2.USV1	1240	11.15	2.28	11.14	1.83
MA0435.2.YPR015C	MA0384.2.SNT2	1046	11.14	2.32	11.13	1.87
MA0435.2.YPR015C	MA0359.3.RAP1	1755	11.38	2.39	11.48	1.89
MA0435.2.YPR015C	MA0421.1.NSI1	1075	11.81	2.51	11.83	2.21
MA0435.2.YPR015C	MA0320.1.IME1	981	11.83	2.19	11.86	1.83
MA0435.2.YPR015C	MA0405.1.TEA1	990	11.83	2.17	11.9	1.73
MA0435.2.YPR015C	MA0281.3.CBF1	737	12.04	2.13	12.09	1.72
MA0435.2.YPR015C	MA0409.1.TYE7	562	12.1	2.05	12.18	1.64
MA0435.2.YPR015C	MA0353.1.PDR3	386	12.19	2.04	12.25	1.67
MA0435.2.YPR015C	MA0265.3.ABF1	1053	12.67	2.37	12.85	1.97
MA0435.2.YPR015C	MA0363.3.REB1	962	13.41	2.01	13.62	1.51
MA0347.3.NRG1	MA0419.1.YAP7	871	10.47	2.17	10.41	1.63
MA0347.3.NRG1	MA0435.2.YPR015C	982	10.3	2.37	10.42	1.74
MA0347.3.NRG1	MA0347.3.NRG1	104483	10.88	2.36	10.84	1.88
MA0347.3.NRG1	MA0350.2.TOD6	1374	10.6	2.31	10.55	1.89
MA0347.3.NRG1	MA0372.2.RPH1	1290	10.54	2.26	10.52	1.69
MA0347.3.NRG1	MA0412.3.UME6	1670	10.9	2.4	10.83	1.96
MA0347.3.NRG1	MA0403.3.TBF1	1446	11.11	2.28	10.93	1.79
MA0347.3.NRG1	MA0393.1.STE12	902	10.88	2.23	10.97	1.7
MA0347.3.NRG1	MA0413.2.USV1	2264	11.01	2.31	11	1.84
MA0347.3.NRG1	MA0384.2.SNT2	1691	11.28	2.36	11.24	1.96
MA0347.3.NRG1	MA0359.3.RAP1	2227	11.53	2.36	11.59	1.96
MA0347.3.NRG1	MA0421.1.NSI1	1708	11.66	2.55	11.66	2.18
MA0347.3.NRG1	MA0320.1.IME1	1833	11.84	2.14	11.85	1.85
MA0347.3.NRG1	MA0405.1.TEA1	1511	11.94	2.18	11.94	1.75
MA0347.3.NRG1	MA0281.3.CBF1	758	12.09	2.1	12.09	1.71
MA0347.3.NRG1	MA0409.1.TYE7	587	12.09	2.08	12.08	1.67
MA0347.3.NRG1	MA0353.1.PDR3	846	12.02	1.97	12.09	1.66
MA0347.3.NRG1	MA0265.3.ABF1	837	12.63	2.4	12.78	2
MA0347.3.NRG1	MA0363.3.REB1	1123	13.57	1.92	13.72	1.47
MA0350.2.TOD6	MA0419.1.YAP7	1062	10.66	2.36	10.55	1.8
MA0350.2.TOD6	MA0435.2.YPR015C	975	10.58	2.39	10.55	1.83
MA0350.2.TOD6	MA0347.3.NRG1	1374	10.6	2.31	10.55	1.89
MA0350.2.TOD6	MA0350.2.TOD6	92879	10.93	2.42	10.9	1.95
MA0350.2.TOD6	MA0372.2.RPH1	1004	10.54	2.32	10.53	1.74
