RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
1,onehot,MSE,AdamW,None,16.611073M,7967.532328605652,0.7402293623938618,0.7563998176132357
2,onehot,MSE,AdamW,OneCycleLR,16.611073M,8369.963958978653,0.7356708051057078,0.751059577947808
3,onehot,MSE,AdamW,ReduceLROnPlateau,16.611073M,9162.146851301193,0.7422604541066508,0.7580929391169418
4,onehot,MSE,Lion,None,16.611073M,5128.294927120209,0.7190829183201839,0.7362706215966695
5,onehot,MSE,Lion,OneCycleLR,16.611073M,4729.291340827942,0.7224805927751166,0.7378226259661507
6,onehot,MSE,Lion,ReduceLROnPlateau,16.611073M,5911.580048322678,0.712864702264052,0.7323079736807534
7,onehot,L1,AdamW,None,16.611073M,9968.336036205292,0.7415551152922988,0.757643366979133
8,onehot,L1,AdamW,OneCycleLR,16.611073M,8372.903329372406,0.7355749673220678,0.7513622369787567
9,onehot,L1,AdamW,ReduceLROnPlateau,16.611073M,10362.460642814636,0.7414132654652009,0.7573446763881643
10,onehot,L1,Lion,None,16.611073M,6708.143921613693,0.731753254632116,0.7492170433863544
11,onehot,L1,Lion,OneCycleLR,16.611073M,5126.815751075745,0.018949909883289734,0.7386330130679267
12,onehot,L1,Lion,ReduceLROnPlateau,16.611073M,7102.546484231949,0.680403495057329,0.7494228655774022
13,onehot,Huber,AdamW,None,16.611073M,9959.15698480606,0.7418652463905411,0.7586370383251781
14,onehot,Huber,AdamW,OneCycleLR,16.611073M,18730.82491707802,0.7438673060110859,0.7605948398146015
15,onehot,Huber,AdamW,ReduceLROnPlateau,16.611073M,9963.557492017746,0.742439391519198,0.7583097669572776
16,onehot,Huber,Lion,None,16.611073M,5914.971428394318,0.7316942486559459,0.7491334082807152
17,onehot,Huber,Lion,OneCycleLR,16.611073M,5121.864755153656,0.7251954201763459,0.7424370943078917
18,onehot,Huber,Lion,ReduceLROnPlateau,16.611073M,6704.5955555438995,0.701317684416479,0.7218107471402714
19,onehotWithN,MSE,AdamW,None,16.611073M,8773.601895093918,0.7404404954742709,0.7562073155324148
20,onehotWithN,MSE,AdamW,OneCycleLR,16.611073M,13954.438032388687,0.7403772255530999,0.7561865349021297
21,onehotWithN,MSE,AdamW,ReduceLROnPlateau,16.611073M,8771.606201410294,0.7414621016963574,0.7572592532492035
22,onehotWithN,MSE,Lion,None,16.611073M,5515.770404577255,0.7051612498632137,0.7213268156367424
23,onehotWithN,MSE,Lion,OneCycleLR,16.611073M,4730.115770578384,0.7204201651391511,0.7364343816009152
24,onehotWithN,MSE,Lion,ReduceLROnPlateau,16.611073M,4335.925356864929,0.6967513760877562,0.7142585911001692
25,onehotWithN,L1,AdamW,None,16.611073M,11951.287336826324,0.7417392827024107,0.75820426031929
26,onehotWithN,L1,AdamW,OneCycleLR,16.611073M,10394.777552604675,0.7352803845744584,0.7518298557977111
27,onehotWithN,L1,AdamW,ReduceLROnPlateau,16.611073M,12782.13876581192,0.7421399620101422,0.7582088823390741
28,onehotWithN,L1,Lion,None,16.611073M,5915.703596830368,0.696789979657506,0.7147941168952631
29,onehotWithN,L1,Lion,OneCycleLR,16.611073M,4728.419053077698,0.7141633544144362,0.7296021220245836
30,onehotWithN,L1,Lion,ReduceLROnPlateau,16.611073M,6311.503762483597,0.7079544202000068,0.7269966894476917
31,onehotWithN,Huber,AdamW,None,16.611073M,9564.546868085861,0.7428383270251532,0.7590916848243516
32,onehotWithN,Huber,AdamW,OneCycleLR,16.611073M,17132.185894966125,0.7431615789786957,0.7597338787677601
33,onehotWithN,Huber,AdamW,ReduceLROnPlateau,16.611073M,9962.519461870193,0.7419633567769296,0.7580982332253579
34,onehotWithN,Huber,Lion,None,16.611073M,7103.607847929001,0.7294980912416984,0.7465385389457013
35,onehotWithN,Huber,Lion,OneCycleLR,16.611073M,4728.441290140152,0.0028714332755208527,0.7327219031918362
36,onehotWithN,Huber,Lion,ReduceLROnPlateau,16.611073M,5916.483109712601,0.7262258051181124,0.7435785654821249
37,onehotWithP,MSE,AdamW,None,16.616193M,9037.50484418869,0.7411174806809915,0.7569018054331128
38,onehotWithP,MSE,AdamW,OneCycleLR,16.616193M,7813.37157702446,0.7356066326272256,0.7519494633572933
39,onehotWithP,MSE,AdamW,ReduceLROnPlateau,16.616193M,9462.46207690239,0.7420095270395144,0.7578345071483625
40,onehotWithP,MSE,Lion,None,16.616193M,6063.512313842773,0.7008219385534797,0.718153906240393
41,onehotWithP,MSE,Lion,OneCycleLR,16.616193M,5250.960333108902,0.726472109673417,0.7420074314583281
42,onehotWithP,MSE,Lion,ReduceLROnPlateau,16.616193M,6059.979815483093,0.6870096505324546,0.7055716823094808
43,onehotWithP,L1,AdamW,None,16.616193M,10584.562668800354,0.741512848429525,0.757737768316339
44,onehotWithP,L1,AdamW,OneCycleLR,16.616193M,15878.601675271988,0.7400716048033121,0.7570765926122069
45,onehotWithP,L1,AdamW,ReduceLROnPlateau,16.616193M,13024.435535430908,0.7408837028206158,0.7568596139111704
46,onehotWithP,L1,Lion,None,16.616193M,6903.98902797699,0.7105947713426871,0.7281856056940091
47,onehotWithP,L1,Lion,OneCycleLR,16.616193M,5284.569267272949,0.7215864528994156,0.7379230309427396
48,onehotWithP,L1,Lion,ReduceLROnPlateau,16.616193M,6931.318001747131,0.7097253055404718,0.7300690491217473
49,onehotWithP,Huber,AdamW,None,16.616193M,8140.011306285858,0.7419456089712363,0.7583624790262045
50,onehotWithP,Huber,AdamW,OneCycleLR,16.616193M,17101.142649173737,0.7416257440546287,0.7579281772176797
51,onehotWithP,Huber,AdamW,ReduceLROnPlateau,16.616193M,8551.49002790451,0.742035976269272,0.7580361108277691
52,onehotWithP,Huber,Lion,None,16.616193M,6473.126227855682,0.7278578283242281,0.7464018550642681
53,onehotWithP,Huber,Lion,OneCycleLR,16.616193M,5254.06999707222,0.7206705112620985,0.7397237358993178
54,onehotWithP,Huber,Lion,ReduceLROnPlateau,16.616193M,6880.174436092377,0.7251441698934683,0.7421354016859069
55,onehotWithInt,MSE,AdamW,None,16.616193M,9772.226443529129,0.7364276753271897,0.7509609802013888
56,onehotWithInt,MSE,AdamW,OneCycleLR,16.616193M,20030.43208503723,0.7373719086446279,0.7522134078526663
57,onehotWithInt,MSE,AdamW,ReduceLROnPlateau,16.616193M,10995.865179538727,0.7355213844386729,0.7499517121404868
58,onehotWithInt,MSE,Lion,None,16.616193M,6063.773841142654,0.6740001541322567,0.6910369280986167
59,onehotWithInt,MSE,Lion,OneCycleLR,16.616193M,4849.5060749053955,0.7064441268753078,0.7219424516626424
60,onehotWithInt,MSE,Lion,ReduceLROnPlateau,16.616193M,6466.973387002945,0.7006472378014074,0.715646652030895
61,onehotWithInt,L1,AdamW,None,16.616193M,13030.820723056793,0.7363668252620587,0.7511172680196676
62,onehotWithInt,L1,AdamW,OneCycleLR,16.616193M,20350.845356702805,0.7388881515501253,0.7544976940259512
63,onehotWithInt,L1,AdamW,ReduceLROnPlateau,16.616193M,16287.004698514938,0.7367855197133859,0.7523883101900863
