RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
181,onehot,MSE,AdamW,None,1.444801M,2938.746304512024,0.7379503852908006,0.7543853569849284
182,onehot,MSE,AdamW,OneCycleLR,1.444801M,3512.6762144565582,0.7387732055109152,0.755267221042154
183,onehot,MSE,AdamW,ReduceLROnPlateau,1.444801M,3211.292003393173,0.7393044747562081,0.7553182872264155
184,onehot,MSE,Lion,None,1.444801M,1572.759654045105,0.7284501356641893,0.7456613931063243
185,onehot,MSE,Lion,OneCycleLR,1.444801M,926.2880306243896,0.7128502355157145,0.7293900534289456
186,onehot,MSE,Lion,ReduceLROnPlateau,1.444801M,1144.6085393428802,0.7268320572136364,0.7431239747174735
187,onehot,L1,AdamW,None,1.444801M,3495.123586654663,0.7382922178527467,0.7551463595409851
188,onehot,L1,AdamW,OneCycleLR,1.444801M,3494.265129804611,0.7363064170039434,0.7542771347784634
189,onehot,L1,AdamW,ReduceLROnPlateau,1.444801M,3494.274822473526,0.739068336185378,0.7559106241145493
190,onehot,L1,Lion,None,1.444801M,1288.0566611289978,0.7247619971640884,0.7409334445432754
191,onehot,L1,Lion,OneCycleLR,1.444801M,1070.2651100158691,0.713167240440367,0.7317727339378687
192,onehot,L1,Lion,ReduceLROnPlateau,1.444801M,2218.768457174301,0.731481851181465,0.7474599725776749
193,onehot,Huber,AdamW,None,1.444801M,3352.7641117572784,0.7374784552167213,0.7548655130866392
194,onehot,Huber,AdamW,OneCycleLR,1.444801M,3492.93377161026,0.738672468163609,0.7563664063064046
195,onehot,Huber,AdamW,ReduceLROnPlateau,1.444801M,2723.4167759418488,0.7382017707510921,0.755720759214775
196,onehot,Huber,Lion,None,1.444801M,2718.598390817642,0.7346985409396901,0.7509545410647376
197,onehot,Huber,Lion,OneCycleLR,1.444801M,1069.1671345233917,0.7176903085302148,0.7345424708857975
198,onehot,Huber,Lion,ReduceLROnPlateau,1.444801M,2144.444885492325,0.732200377223377,0.7489675963366711
199,onehotWithN,MSE,AdamW,None,1.444801M,3277.4562389850616,0.737942289103698,0.7544743857489872
