RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
91,onehot,MSE,AdamW,None,3.401601M,3576.7914714813232,0.7412648398092885,0.7577420239569533
92,onehot,MSE,AdamW,OneCycleLR,3.401601M,4710.927650690079,0.7416476070366704,0.7579862722334183
93,onehot,MSE,AdamW,ReduceLROnPlateau,3.401601M,4511.792147159576,0.7424599480728935,0.7587341945595627
94,onehot,MSE,Lion,None,3.401601M,1246.7600755691528,0.7061183615165011,0.7220874305448134
95,onehot,MSE,Lion,OneCycleLR,3.401601M,1054.8220760822296,0.6940457504935504,0.7093436716304721
96,onehot,MSE,Lion,ReduceLROnPlateau,3.401601M,1344.0031445026398,0.7086990908228318,0.7253042986905738
97,onehot,L1,AdamW,None,3.401601M,4713.617169857025,0.7408828056217298,0.7576077636175492
98,onehot,L1,AdamW,OneCycleLR,3.401601M,4713.917283296585,0.7408309323801203,0.7577906568113726
99,onehot,L1,AdamW,ReduceLROnPlateau,3.401601M,3394.4705951213837,0.739818055349221,0.7567410596174342
100,onehot,L1,Lion,None,3.401601M,1345.0120346546173,0.706886452145157,0.7234083314164789
101,onehot,L1,Lion,OneCycleLR,3.401601M,1246.3485469818115,0.699527127210368,0.7169853260024405
102,onehot,L1,Lion,ReduceLROnPlateau,3.401601M,1444.052253484726,0.6938221866578062,0.7226514799515525
103,onehot,Huber,AdamW,None,3.401601M,4712.021864414215,0.7417449161272996,0.7583794022205868
104,onehot,Huber,AdamW,OneCycleLR,3.401601M,4711.6201367378235,0.741102726612707,0.7581336798746134
105,onehot,Huber,AdamW,ReduceLROnPlateau,3.401601M,4712.459901571274,0.7428201118061707,0.7596306108077799
106,onehot,Huber,Lion,None,3.401601M,1635.085988521576,0.6971646594226043,0.7260778252876885
107,onehot,Huber,Lion,OneCycleLR,3.401601M,1247.3670949935913,0.6890829225090103,0.716073040864375
108,onehot,Huber,Lion,ReduceLROnPlateau,3.401601M,1731.8149433135986,0.6976746084948611,0.724726289972832
109,onehotWithN,MSE,AdamW,None,3.401601M,4142.831381559372,0.7407484328472564,0.756984669444249
110,onehotWithN,MSE,AdamW,OneCycleLR,3.401601M,1978.548822402954,0.7297228876000112,0.746218779858545
111,onehotWithN,MSE,AdamW,ReduceLROnPlateau,3.401601M,3392.5556967258453,0.7415342592695724,0.7576489680271693
112,onehotWithN,MSE,Lion,None,3.401601M,1247.379427909851,0.7120146337174444,0.7278791792240231
113,onehotWithN,MSE,Lion,OneCycleLR,3.401601M,1054.4681034088135,0.6913515517456679,0.7066299412128875
114,onehotWithN,MSE,Lion,ReduceLROnPlateau,3.401601M,1534.264645576477,0.6881918166595408,0.7152436179548187
115,onehotWithN,L1,AdamW,None,3.401601M,4242.063287258148,0.7408539825063142,0.757302982945242
116,onehotWithN,L1,AdamW,OneCycleLR,3.401601M,4712.127318143845,0.7392976799887849,0.756068216708362
117,onehotWithN,L1,AdamW,ReduceLROnPlateau,3.401601M,4714.1762573719025,0.7416862665841895,0.7582920882750569
118,onehotWithN,L1,Lion,None,3.401601M,1347.116839170456,0.6896975875199616,0.7172194716578435
119,onehotWithN,L1,Lion,OneCycleLR,3.401601M,1247.4308488368988,0.7015282944018868,0.71931158726343
120,onehotWithN,L1,Lion,ReduceLROnPlateau,3.401601M,1539.787386894226,0.08079124115179605,0.7230993988581621
121,onehotWithN,Huber,AdamW,None,3.401601M,4712.882973909378,0.7416348055611873,0.7584370832131523
122,onehotWithN,Huber,AdamW,OneCycleLR,3.401601M,4711.408529281616,0.7416368844497411,0.7585085616768967
123,onehotWithN,Huber,AdamW,ReduceLROnPlateau,3.401601M,4713.730491876602,0.7422996696637232,0.7591924984170176
124,onehotWithN,Huber,Lion,None,3.401601M,1632.7661390304565,0.3013058875091109,0.7265976658368212
125,onehotWithN,Huber,Lion,OneCycleLR,3.401601M,1247.7743878364563,0.7060941479490064,0.7220958968078297
126,onehotWithN,Huber,Lion,ReduceLROnPlateau,3.401601M,1250.6618757247925,0.7052714228149587,0.7210085408963572
127,onehotWithP,MSE,AdamW,None,3.402881M,3980.321495771408,0.7417786705890576,0.7579126750414826
128,onehotWithP,MSE,AdamW,OneCycleLR,3.402881M,4739.967320919037,0.7427613147418486,0.7589111626313355
129,onehotWithP,MSE,AdamW,ReduceLROnPlateau,3.402881M,2844.008818626404,0.7413131945203891,0.7571767850256601
130,onehotWithP,MSE,Lion,None,3.402881M,1062.5789144039154,0.6920987363798481,0.7075849642725424
131,onehotWithP,MSE,Lion,OneCycleLR,3.402881M,1157.529212474823,0.704360922906058,0.7203246734291919
132,onehotWithP,MSE,Lion,ReduceLROnPlateau,3.402881M,1252.9442999362946,0.7062755583688948,0.7228721928269481
133,onehotWithP,L1,AdamW,None,3.402881M,4459.735715389252,0.7403382977041356,0.7569258926479031
134,onehotWithP,L1,AdamW,OneCycleLR,3.402881M,4741.789994239807,0.7404929711244134,0.7571660888712836
135,onehotWithP,L1,AdamW,ReduceLROnPlateau,3.402881M,4742.6706120967865,0.740430722763896,0.7569990842202952
136,onehotWithP,L1,Lion,None,3.402881M,1643.7649009227753,0.7075914539710284,0.7243552498516783
137,onehotWithP,L1,Lion,OneCycleLR,3.402881M,1255.8694875240326,0.7024973998389201,0.71862502564291
138,onehotWithP,L1,Lion,ReduceLROnPlateau,3.402881M,1741.4561285972595,0.5869421353580011,0.73010930755673
139,onehotWithP,Huber,AdamW,None,3.402881M,3696.7804098129272,0.7412505706968714,0.7580331045697508
140,onehotWithP,Huber,AdamW,OneCycleLR,3.402881M,4739.479503393173,0.7423552978975809,0.7590656968847547
141,onehotWithP,Huber,AdamW,ReduceLROnPlateau,3.402881M,4264.568709373474,0.7428881000594096,0.759588474147381
142,onehotWithP,Huber,Lion,None,3.402881M,1546.5514464378357,0.697280838016107,0.7239480640069681
143,onehotWithP,Huber,Lion,OneCycleLR,3.402881M,1253.7889742851257,0.7028472970216373,0.7200249607043209
144,onehotWithP,Huber,Lion,ReduceLROnPlateau,3.402881M,1450.1834590435028,0.7138373078566785,0.73304821688141
145,onehotWithInt,MSE,AdamW,None,3.402881M,4735.336084365845,0.7372485801973575,0.7513612145887071
146,onehotWithInt,MSE,AdamW,OneCycleLR,3.402881M,1989.9304280281067,0.7278948833142365,0.7431926069351977
147,onehotWithInt,MSE,AdamW,ReduceLROnPlateau,3.402881M,4264.261806964874,0.738409128505126,0.7527193105755442
148,onehotWithInt,MSE,Lion,None,3.402881M,1252.6242134571075,0.6986522953321196,0.7139766326830344
149,onehotWithInt,MSE,Lion,OneCycleLR,3.402881M,1253.1738305091858,0.7027988884497907,0.7174234659618198
150,onehotWithInt,MSE,Lion,ReduceLROnPlateau,3.402881M,1349.4430413246155,0.7046570140482198,0.720227933378203
151,onehotWithInt,L1,AdamW,None,3.402881M,4741.498861312866,0.7355026717738724,0.7502853981688609
152,onehotWithInt,L1,AdamW,OneCycleLR,3.402881M,4741.0050320625305,0.7339930357822514,0.7490263846390036
153,onehotWithInt,L1,AdamW,ReduceLROnPlateau,3.402881M,4743.456278800964,0.7372317814871875,0.7523331284485697
154,onehotWithInt,L1,Lion,None,3.402881M,1547.9873552322388,0.6907796815027967,0.7190111200556921
155,onehotWithInt,L1,Lion,OneCycleLR,3.402881M,1253.9779040813446,0.7015005574582929,0.7173847361972882
156,onehotWithInt,L1,Lion,ReduceLROnPlateau,3.402881M,1545.8934655189514,0.10820959541986658,0.714775032227595
157,onehotWithInt,Huber,AdamW,None,3.402881M,4737.120392560959,0.7373308045176087,0.7526994577425138
158,onehotWithInt,Huber,AdamW,OneCycleLR,3.402881M,4737.492887735367,0.737132347720365,0.7520076736308812
159,onehotWithInt,Huber,AdamW,ReduceLROnPlateau,3.402881M,4738.755809783936,0.7383501531596066,0.7531989513734995
160,onehotWithInt,Huber,Lion,None,3.402881M,1544.2870223522186,0.6900996600063465,0.7193140706830681
161,onehotWithInt,Huber,Lion,OneCycleLR,3.402881M,1255.5822987556458,0.68946703384225,0.71199070012901
