Training data size,score
2,0.9218468646992605
2,0.9281146148378115
2,0.9228340878899615
4,0.925406429430023
4,0.9244710852964895
4,0.925044467387486
6,0.9215066680807591
6,0.9254178595167952
6,0.91957156089848
8,0.920499977069732
8,0.918538180613053
8,0.9234040352300796
10,0.9212163135984777
10,0.924644172676627
10,0.9143707367011094
12,0.9220619208409684
12,0.9260960529821908
12,0.9278809756498325
14,0.9229302264775365
14,0.9231747587842637
14,0.9260560216430731
16,0.9230558377742797
16,0.9259425314067202
16,0.9234207881611035
18,0.9232630531113584
18,0.9218712339636698
18,0.9226843780115734
20,0.9250926538507673
20,0.9171995811442611
20,0.9234936767769584
21,0.9203456109887358
21,0.9247850549401879
21,0.9186376865431696
