Training data size,score
2,0.9408448301116007
2,0.9451953532697284
2,0.9456906213401004
4,0.938820730797836
4,0.944864862859737
4,0.9465040677683569
6,0.9473862906148622
6,0.9477501480544956
6,0.9494092295306231
8,0.9471957556671553
8,0.9454001356562814
8,0.9501081965629914
10,0.949688916232037
10,0.9492537515232651
10,0.9501526832840381
12,0.9439558185142497
12,0.9504316451718493
12,0.9523992219704844
14,0.9454745280993362
14,0.9466617966198854
14,0.9484693133054685
16,0.95376291201907
16,0.9512625743096019
16,0.9447198954093343
18,0.9551053544967356
18,0.953334686497658
18,0.9526396066646239
20,0.9554989059141108
20,0.9528460240544208
20,0.9487295140355766
21,0.9542186778792824
21,0.9507964096533896
21,0.9502500989176388
