Training data size,score
2,0.9188398902901173
2,0.9253865671730603
2,0.9253562752595546
4,0.9283282912516233
4,0.9277072056345819
4,0.9314010100099246
6,0.9197381212277995
6,0.9300707092640743
6,0.9343699522133642
8,0.9181448551099052
8,0.9331691815693754
8,0.934359270098939
10,0.9291868233072198
10,0.9280422650049265
10,0.937742108987657
12,0.9280688548795687
12,0.9291561304420481
12,0.93200776219138
14,0.9302082089995303
14,0.9338462695771231
14,0.9315710627829668
16,0.9244273121239813
16,0.9374323444389212
16,0.9400170652321057
18,0.9257927328885918
18,0.9310619051821875
18,0.9310879004410056
20,0.923061984104302
20,0.9217941056636874
20,0.9314022604207801
22,0.9213363259230873
22,0.9374934081320598
22,0.9339885021439776
24,0.9208074299609778
24,0.9291730481730007
24,0.9338034279441381
26,0.9256067247823728
26,0.9321881811575428
26,0.9342055865995601
28,0.9238045247371153
28,0.9285242061521266
28,0.9350308011376669
30,0.9309800656240741
30,0.9342671417181789
30,0.9365572893526197
31,0.9307262429222749
31,0.9252677107916603
31,0.9301904855545444
