Training data size,score
2,0.9414852133412777
2,0.9468737733790974
2,0.943359329238953
4,0.9536285171705441
4,0.9514390777470725
4,0.9510383355882134
6,0.9481610825804971
6,0.9541682266961703
6,0.949720779511525
8,0.9526978474606045
8,0.9587057081675288
8,0.9559106475801431
10,0.9569287752252261
10,0.9582638839479118
10,0.9532052713103462
12,0.9577315341591689
12,0.9615083510045999
12,0.9546333983825555
14,0.9590443161662385
14,0.9639758229579367
14,0.9577886733073171
16,0.9566962987658066
16,0.9648390895356673
16,0.9540132837585896
18,0.9605923004670099
18,0.9628224121832777
18,0.9577086395115608
20,0.9570436371812525
20,0.9619159200831144
20,0.959701215390244
22,0.9630379385659101
22,0.9623302275814727
22,0.9615035044854705
24,0.9603101316238634
24,0.9650373894081665
24,0.960847927259288
26,0.957117824436747
26,0.9625125304226825
26,0.9631888922409826
28,0.9594938591634191
28,0.9613273965642564
28,0.9607728919753682
30,0.9586678243744211
30,0.9622255393044117
30,0.9617013820429614
31,0.9583701350892012
31,0.9607470149346166
31,0.9564010568542852
